,missing_count,missing_pct
neighbourhood_group_cleansed,26401,100.0
calendar_updated,26401,100.0
license,26401,100.0
host_neighbourhood,12831,48.6
neighborhood_overview,12431,47.09
neighbourhood,12431,47.09
host_about,11237,42.56
host_location,6237,23.62
host_response_rate,4686,17.75
host_response_time,4686,17.75
host_acceptance_rate,3610,13.67
review_scores_value,3375,12.78
review_scores_checkin,3375,12.78
review_scores_communication,3375,12.78
review_scores_location,3375,12.78
review_scores_accuracy,3375,12.78
review_scores_cleanliness,3375,12.78
review_scores_rating,3373,12.78
last_review,3373,12.78
first_review,3373,12.78
reviews_per_month,3373,12.78
last_review_dt,3373,12.78
beds,3297,12.49
bathrooms,3281,12.43
estimated_revenue_l365d,3274,12.4
price_clean,3274,12.4
price,3274,12.4
host_is_superhost,1359,5.15
has_availability,1000,3.79
bedrooms,924,3.5
host_identity_verified,914,3.46
host_listings_count,914,3.46
host_total_listings_count,914,3.46
host_verifications,914,3.46
host_since,914,3.46
host_thumbnail_url,914,3.46
host_picture_url,914,3.46
host_has_profile_pic,914,3.46
host_name,857,3.25
description,768,2.91
bathrooms_text,31,0.12
maximum_minimum_nights,20,0.08
maximum_maximum_nights,20,0.08
minimum_maximum_nights,20,0.08
minimum_minimum_nights,20,0.08
number_of_reviews_ly,0,0.0
name,0,0.0
source,0,0.0
picture_url,0,0.0
instant_bookable,0,0.0
calculated_host_listings_count,0,0.0
host_id,0,0.0
host_url,0,0.0
calculated_host_listings_count_entire_homes,0,0.0
calculated_host_listings_count_private_rooms,0,0.0
calculated_host_listings_count_shared_rooms,0,0.0
last_scraped,0,0.0
scrape_id,0,0.0
estimated_occupancy_l365d,0,0.0
availability_365,0,0.0
availability_eoy,0,0.0
maximum_nights,0,0.0
latitude,0,0.0
longitude,0,0.0
property_type,0,0.0
room_type,0,0.0
accommodates,0,0.0
amenities,0,0.0
listing_url,0,0.0
minimum_nights,0,0.0
minimum_nights_avg_ntm,0,0.0
number_of_reviews_l30d,0,0.0
maximum_nights_avg_ntm,0,0.0
availability_30,0,0.0
availability_60,0,0.0
availability_90,0,0.0
neighbourhood_cleansed,0,0.0
calendar_last_scraped,0,0.0
number_of_reviews,0,0.0
number_of_reviews_ltm,0,0.0
id,0,0.0
