,count,unique,top,freq,mean,min,25%,50%,75%,max,std
id,26401.0,,,,6.488521524934246e+17,35797.0,42559924.0,7.821414636652403e+17,1.1480838195576824e+18,1.4504382873407547e+18,5.483558105287324e+17
listing_url,26401,26401,https://www.airbnb.com/rooms/35797,1,,,,,,,
scrape_id,26401.0,,,,20250625031918.0,20250625031918.0,20250625031918.0,20250625031918.0,20250625031918.0,20250625031918.0,4.992282048110348
last_scraped,26401,8,2025-07-01,10128,,,,,,,
source,26401,2,city scrape,23127,,,,,,,
name,26401,24971,"Blueground | Roma Sur 1 recamara, AC & rooftop",54,,,,,,,
description,25633,21633,Enjoy the simplicity of this quiet and central accommodation.,150,,,,,,,
neighborhood_overview,13970,10300,"High-end, urbane Polanco is one of the most sought-after neighborhoods in Mexico City. You can find some of the city's most exclusive shopping and dining along Avenida Presidente Masaryk.",64,,,,,,,
picture_url,26401,25592,https://a0.muscache.com/pictures/miso/Hosting-822350398158819419/original/0b826239-bcec-4cac-9f40-73705e476cbb.jpeg,18,,,,,,,
host_id,26401.0,,,,235411243.3114276,7365.0,54364774.0,170583300.0,416155974.0,703177347.0,200584387.5271889
host_url,26401,11897,https://www.airbnb.com/users/show/498701635,235,,,,,,,
host_name,25544,4126,Alejandra,321,,,,,,,
host_since,25487,4131,2023-01-30,250,,,,,,,
host_location,20164,400,"Mexico City, Mexico",16517,,,,,,,
host_about,15164,5921,"Somos Blueground, una empresa internacional de proptech con varios miles de apartamentos listos para mudarse en un número creciente de ciudades importantes de todo el mundo. Con condiciones flexibles y alojamientos en barrios vibrantes y céntricos, te sentirás como en casa y podrás recorrer todo el tiempo que quieras: un mes, un año o más.",235,,,,,,,
host_response_time,21715,4,within an hour,17811,,,,,,,
host_response_rate,21715,65,100%,17175,,,,,,,
host_acceptance_rate,22791,100,100%,10909,,,,,,,
host_is_superhost,25042,2,f,15365,,,,,,,
host_thumbnail_url,25487,11190,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,546,,,,,,,
host_picture_url,25487,11190,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,546,,,,,,,
host_neighbourhood,13570,1008,Polanco,1639,,,,,,,
host_listings_count,25487.0,,,,24.467022403578294,1.0,1.0,4.0,14.0,896.0,82.39438437851452
host_total_listings_count,25487.0,,,,33.18982226232981,1.0,2.0,5.0,17.0,946.0,115.57013964711706
host_verifications,25487,8,"['email', 'phone']",19751,,,,,,,
host_has_profile_pic,25487,2,t,24939,,,,,,,
host_identity_verified,25487,2,t,24355,,,,,,,
neighbourhood,13970,317,"Mexico City, Mexico",12719,,,,,,,
neighbourhood_cleansed,26401,16,Cuauhtémoc,12113,,,,,,,
neighbourhood_group_cleansed,0.0,,,,,,,,,,
latitude,26401.0,,,,19.40531104927756,19.17784790296016,19.39188,19.41512,19.43189234733778,19.56101,0.04249790241569692
longitude,26401.0,,,,-99.16563847211908,-99.33963,-99.17861360894553,-99.16726,-99.15397536182508,-98.96336,0.03367891313941127
property_type,26401,80,Entire rental unit,10130,,,,,,,
room_type,26401,4,Entire home/apt,17235,,,,,,,
accommodates,26401.0,,,,3.333434339608348,1.0,2.0,2.0,4.0,16.0,2.338817506746917
bathrooms,23120.0,,,,1.4503892733564014,0.0,1.0,1.0,2.0,49.0,1.0339953761235614
bathrooms_text,26370,59,1 bath,10772,,,,,,,
